nice and fast,1,subjectivePhrases
nice and quick,1,subjectivePhrases
nice and controlled,1,subjectivePhrases
nice and easy,3,subjectivePhrases
nice and flat,0,subjectivePhrases
nice and high,1,subjectivePhrases
nice and low,0,subjectivePhrases
nice and narrow,2,subjectivePhrases
nice and small,0,subjectivePhrases
nice and stable,2,subjectivePhrases
nice and strong,3,subjectivePhrases
nice and light,0,subjectivePhrases
nice and tall,0,subjectivePhrases
nice and tight,0,subjectivePhrases
nice and under control,0,subjectivePhrases
nice and wide,1,subjectivePhrases
nice and steady,0,subjectivePhrases
nice and shallow,0,subjectivePhrases
nice and slow,3,subjectivePhrases
nice and,20,subjectivePhrases
nice strong,1,subjectivePhrases
powerfully,0,subjectivePhrases
really reach,1,subjectivePhrases
safe manner,0,subjectivePhrases
stay nice,0,subjectivePhrases
stay with it,0,subjectivePhrases
strong arm,0,subjectivePhrases
too much,0,subjectivePhrases
under control,0,subjectivePhrases
work it through,0,subjectivePhrases
working through,0,subjectivePhrases
works for you,0,subjectivePhrases
kind of,1,subjectivePhrases
sort of,0,subjectivePhrases
somewhat,0,subjectivePhrases
quite easy,0,subjectivePhrases
quite hard,0,subjectivePhrases
quite difficult,0,subjectivePhrases
quite simple,0,subjectivePhrases
easy stuff,0,subjectivePhrases
hard stuff,0,subjectivePhrases
difficult stuff,0,subjectivePhrases
simple stuff,0,subjectivePhrases
get a little,1,subjectivePhrases
a little,24,subjectivePhrases
easier version,0,subjectivePhrases
harder version,0,subjectivePhrases
as high as you can,0,subjectivePhrases
as far as you can,0,subjectivePhrases
a lot,2,subjectivePhrases
a million times,0,subjectivePhrases
a ton,1,subjectivePhrases
a bunch,0,subjectivePhrases
as you can,5,subjectivePhrases
as much as you need,0,subjectivePhrases
as you need,0,subjectivePhrases
nice stretch,0,subjectivePhrases
nice movement,0,subjectivePhrases
nice,24,subjectivePhrases
as much,0,subjectivePhrases
fast feet,4,unfamiliarExercisePhrase
plank reach,0,unfamiliarExercisePhrase
runners lunge,0,unfamiliarExercisePhrase
deep lunge,0,unfamiliarExercisePhrase
sidestep jacks,0,unfamiliarExercisePhrase
back bows,0,unfamiliarExercisePhrase
overhead reach,0,unfamiliarExercisePhrase
toe reach,0,unfamiliarExercisePhrase
foot jump,0,unfamiliarExercisePhrase
knee pull,0,unfamiliarExercisePhrase
plank jack lift,0,unfamiliarExercisePhrase
plank jack,0,unfamiliarExercisePhrase
supine plank reach,0,unfamiliarExercisePhrase
boxer shuffle,0,unfamiliarExercisePhrase
90 lat stretch,0,unfamiliarExercisePhrase
ankle flexion,0,unfamiliarExercisePhrase
anti-rotation reverse lunge,0,unfamiliarExercisePhrase
reverse lunge,1,unfamiliarExercisePhrase
bent knee push-up,0,unfamiliarExercisePhrase
knee push-up,0,unfamiliarExercisePhrase
bodyweight squat,0,unfamiliarExercisePhrase
calf raise,0,unfamiliarExercisePhrase
cat-cow,0,unfamiliarExercisePhrase
chest press,0,unfamiliarExercisePhrase
child's pose,0,unfamiliarExercisePhrase
childs pose,0,unfamiliarExercisePhrase
cobra,0,unfamiliarExercisePhrase
